L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.671842,0.874166,0.873069,0.829203,0.533208,0.759521,0.760632,0.71711,0.565953,0.551328,0.598783,0.653657,0.405528,0.435938,0.387441,0.331695,0.159122,0.068622,0.077715,0.063079,0.078268,0.050901,0.060109,0.042999
0.681028,0.885256,0.883907,0.840307,0.530074,0.756368,0.757498,0.713936,0.566557,0.55225,0.599726,0.654545,0.405616,0.435923,0.387428,0.331698,0.154182,0.067995,0.077127,0.061643,0.07832,0.050837,0.060066,0.042983
0.690301,0.896353,0.894764,0.851472,0.526942,0.75321,0.75436,0.710764,0.567263,0.553176,0.600678,0.655456,0.405702,0.43591,0.387416,0.331699,0.149326,0.067532,0.0767,0.060367,0.07838,0.050771,0.06002,0.042964
0.699642,0.907436,0.905621,0.86268,0.523814,0.750048,0.751219,0.707594,0.56807,0.554101,0.601634,0.656387,0.405786,0.4359,0.387404,0.331699,0.144566,0.067246,0.076449,0.059264,0.078447,0.050703,0.05997,0.042944
0.709034,0.918482,0.916457,0.873911,0.520691,0.746882,0.748076,0.704426,0.568976,0.55502,0.602588,0.657333,0.405868,0.435893,0.387392,0.331699,0.139915,0.067146,0.076382,0.058346,0.078521,0.050634,0.059916,0.042921
0.718453,0.929467,0.92725,0.885142,0.517573,0.743715,0.744932,0.701261,0.569975,0.555931,0.603535,0.658291,0.405947,0.435891,0.38738,0.331698,0.135385,0.067238,0.076508,0.057622,0.078602,0.050562,0.059859,0.042896
0.727877,0.940362,0.937972,0.896346,0.514461,0.740547,0.741791,0.6981,0.571059,0.556832,0.604471,0.659256,0.406024,0.435893,0.387367,0.331696,0.130988,0.067528,0.076832,0.057098,0.078691,0.050489,0.059799,0.042869
0.737281,0.95114,0.948598,0.907495,0.511353,0.737379,0.738653,0.694942,0.572218,0.55772,0.605392,0.660224,0.406101,0.4359,0.387354,0.331695,0.126736,0.068017,0.077354,0.056779,0.078785,0.050415,0.059737,0.042838
0.74664,0.961772,0.959097,0.918556,0.508251,0.734213,0.73552,0.691786,0.573444,0.558595,0.606294,0.66119,0.406178,0.43591,0.38734,0.331695,0.122641,0.068702,0.078073,0.056665,0.078887,0.050339,0.059671,0.042804
0.755929,0.972226,0.969439,0.929496,0.505153,0.73105,0.732391,0.688632,0.574724,0.559453,0.607174,0.662151,0.406257,0.435922,0.387326,0.331697,0.118716,0.069578,0.078984,0.056754,0.078994,0.050265,0.059603,0.042767
0.765121,0.982474,0.979591,0.940281,0.50206,0.727893,0.729267,0.68548,0.576048,0.560293,0.608029,0.663103,0.406339,0.435934,0.387311,0.331701,0.114972,0.070635,0.080077,0.057042,0.079108,0.050191,0.059533,0.042727
0.774185,0.992485,0.989522,0.950874,0.498972,0.724742,0.726148,0.682329,0.577404,0.561113,0.608859,0.664044,0.406426,0.435947,0.387297,0.331708,0.111417,0.071861,0.08134,0.057519,0.079227,0.050119,0.059459,0.042683
0.783094,1.002228,0.9992,0.961237,0.495889,0.721596,0.723033,0.679179,0.578781,0.561914,0.609663,0.664971,0.406519,0.435959,0.387282,0.331718,0.10806,0.073242,0.082758,0.058174,0.079352,0.050048,0.059384,0.042636
0.791817,1.011674,1.008593,0.971333,0.49281,0.718457,0.719922,0.67603,0.580166,0.562695,0.61044,0.665881,0.406619,0.43597,0.387268,0.331731,0.104906,0.074761,0.084314,0.058994,0.079484,0.04998,0.059306,0.042586
0.800321,1.020795,1.01767,0.981126,0.489736,0.715325,0.716815,0.672881,0.581548,0.563457,0.611192,0.666775,0.406728,0.435979,0.387256,0.331748,0.101959,0.076399,0.085988,0.059961,0.079621,0.049913,0.059226,0.042534
0.808577,1.029563,1.026401,0.990577,0.486667,0.712199,0.71371,0.669733,0.582913,0.564203,0.611921,0.66765,0.406847,0.435987,0.387245,0.331767,0.099218,0.078137,0.087759,0.061056,0.079766,0.049847,0.059145,0.042482
0.816552,1.037953,1.034759,0.99965,0.483603,0.70908,0.710608,0.666584,0.584249,0.564935,0.612629,0.668507,0.406976,0.435994,0.387236,0.331789,0.096681,0.079952,0.089605,0.062257,0.079917,0.049784,0.059063,0.04243
0.824216,1.045942,1.042717,1.008309,0.480544,0.705967,0.707509,0.663436,0.585543,0.565655,0.613319,0.669344,0.407117,0.436,0.387228,0.331813,0.094343,0.081822,0.091503,0.063542,0.080076,0.049722,0.058982,0.042379
0.831541,1.053508,1.050252,1.016521,0.47749,0.702861,0.704412,0.660288,0.586782,0.566367,0.613993,0.670162,0.407271,0.436003,0.387221,0.331838,0.092197,0.083723,0.093427,0.064884,0.080244,0.049663,0.058903,0.042332
0.838497,1.06063,1.05734,1.024253,0.474441,0.699762,0.701318,0.65714,0.587954,0.567071,0.614653,0.67096,0.407438,0.436005,0.387215,0.331866,0.090233,0.085632,0.095353,0.066259,0.080421,0.049605,0.058825,0.042288
